"country","indicator","Unit","Date","Value"
"Singapore","Top 10% average income","Real 2010 Singapore Dollars","1/1/1974 12:00:00 AM",36926.47
"Singapore","Top 10% average income","Real 2010 Singapore Dollars","1/1/1975 12:00:00 AM",39245.51
"Singapore","Top 10% average income","Real 2010 Singapore Dollars","1/1/1976 12:00:00 AM",41961.38
"Singapore","Top 10% average income","Real 2010 Singapore Dollars","1/1/1977 12:00:00 AM",42223.4
"Singapore","Top 10% average income","Real 2010 Singapore Dollars","1/1/1978 12:00:00 AM",42945.07
"Singapore","Top 10% average income","Real 2010 Singapore Dollars","1/1/1979 12:00:00 AM",47373.34
"Singapore","Top 10% average income","Real 2010 Singapore Dollars","1/1/1980 12:00:00 AM",47960.04
"Singapore","Top 10% average income","Real 2010 Singapore Dollars","1/1/1981 12:00:00 AM",51885.09
"Singapore","Top 10% average income","Real 2010 Singapore Dollars","1/1/1982 12:00:00 AM",57803.72
"Singapore","Top 10% average income","Real 2010 Singapore Dollars","1/1/1983 12:00:00 AM",62001.84
"Singapore","Top 10% average income","Real 2010 Singapore Dollars","1/1/1984 12:00:00 AM",64392.73
"Singapore","Top 10% average income","Real 2010 Singapore Dollars","1/1/1985 12:00:00 AM",65162.95
"Singapore","Top 10% average income","Real 2010 Singapore Dollars","1/1/1986 12:00:00 AM",63731.01
"Singapore","Top 10% average income","Real 2010 Singapore Dollars","1/1/1987 12:00:00 AM",72756.3
"Singapore","Top 10% average income","Real 2010 Singapore Dollars","1/1/1988 12:00:00 AM",76838.84
"Singapore","Top 10% average income","Real 2010 Singapore Dollars","1/1/1989 12:00:00 AM",84417.3
"Singapore","Top 10% average income","Real 2010 Singapore Dollars","1/1/1990 12:00:00 AM",91883.79
"Singapore","Top 10% average income","Real 2010 Singapore Dollars","1/1/1991 12:00:00 AM",95027.4
"Singapore","Top 10% average income","Real 2010 Singapore Dollars","1/1/1993 12:00:00 AM",104721.82
"Singapore","Top 10% average income","Real 2010 Singapore Dollars","1/1/1994 12:00:00 AM",108858.44
"Singapore","Top 10% average income","Real 2010 Singapore Dollars","1/1/1995 12:00:00 AM",113402.46
"Singapore","Top 10% average income","Real 2010 Singapore Dollars","1/1/1996 12:00:00 AM",121752.27
"Singapore","Top 10% average income","Real 2010 Singapore Dollars","1/1/1997 12:00:00 AM",126460.79
"Singapore","Top 10% average income","Real 2010 Singapore Dollars","1/1/1998 12:00:00 AM",130964.13
"Singapore","Top 10% average income","Real 2010 Singapore Dollars","1/1/1999 12:00:00 AM",139277.67
"Singapore","Top 10% average income","Real 2010 Singapore Dollars","1/1/2000 12:00:00 AM",156177.54
"Singapore","Top 10% average income","Real 2010 Singapore Dollars","1/1/2001 12:00:00 AM",159140.26
"Singapore","Top 10% average income","Real 2010 Singapore Dollars","1/1/2002 12:00:00 AM",156838.44
"Singapore","Top 10% average income","Real 2010 Singapore Dollars","1/1/2003 12:00:00 AM",159243.33
"Singapore","Top 10% average income","Real 2010 Singapore Dollars","1/1/2004 12:00:00 AM",161198.37
"Singapore","Top 10% average income","Real 2010 Singapore Dollars","1/1/2005 12:00:00 AM",170744.33
"Singapore","Top 10% average income","Real 2010 Singapore Dollars","1/1/2006 12:00:00 AM",185295.82
"Singapore","Top 10% average income","Real 2010 Singapore Dollars","1/1/2007 12:00:00 AM",208443.98
"Singapore","Top 10% average income","Real 2010 Singapore Dollars","1/1/2008 12:00:00 AM",202059.19
"Singapore","Top 10% average income","Real 2010 Singapore Dollars","1/1/2009 12:00:00 AM",192490.78
