City ;M.Population.(000) ;M.Area.km2 ;C.Population.(000) ;C.Area.km2 ;Rail.length.km ;No.of.rail.stations ;Public.bus.feet.size ;MRT.LRT.usage.(000);Public.bus.usage.(000);Road.length.km ;Motor.Vehicles.(000) ;Private.cars.(000) 
Barcelona  ;3239;587;1621;102;110;154;1072;1084;475;1369;968;585
Beijing  ;20186;16411;12014;1368;456;269;21628;6008;13788;28446;4983;2862
Berlin ;3502;892;3502;892;146;173;1316;1386;1052;5419;1305;1120
Chicago  ;3536;842;2715;590;180;145;1877;632;859;;;
Guangzhou  ;12751;7434;11114;3843;236;144;11445;4506;6920;9052;2325;1365
Hong Kong ;7184;1104;7184;1104;218;152;5743;4701;3833;2090;653;455
London ;8302;1572;8302;1572;436;310;7500;3641;6397;14814;2934;2535
Madrid ;3249;604;3249;604;292;300;2095;1644;1169;2944;1687;1330
Melbourne ;4246;9991;1305;451;390;217;1753;607;337;;2853;2379
New York ;8337;790;8337;790;373;468;4344;4521;1825;10105;1978;1777
Seoul ;10442;605;10442;605;327;302;7512;6994;4565;8174;3414;2318
Shanghai  ;23475;6341;14679;1871;454;280;16235;5756;7592;16792;328;989
Singapore ;5312;716;5312;716;178;134;4212;2649;3481;3426;970;535
Stockholm ;2127;6526;881;188;110;100;2114;874;814;;;829
Sydney ;4667;12368;1721;594;329;308;2213;829;625;;2626;2626
Taipei ;2673;272;2673;272;113;102;3727;1645;1681;1617;1857;576
Tokyo  ;13277;2189;9050;622;304;285;1462;8715;554;11863;2117;1641
Vienna ;1757;415;1757;415;74;101;496;1608;323;2809;838;679
Warsaw ;1709;517;1709;517;23;23;1561;362;1346;1876;1187;957
Washington DC  ;3720;246;632;159;171;86;1519;780;358;;;
